datetime,open,high,low,close,volume
2026-05-16 14:00,3.95,3.95,3.95,3.95,1
2026-05-16 15:00,8.65,8.65,8.65,8.65,1
2026-05-16 16:00,21.93,21.93,21.93,21.93,1
2026-05-16 17:00,6.74,6.74,6.74,6.74,1
2026-05-16 18:00,18.75,18.75,18.75,18.75,1
2026-05-16 19:00,35.8,35.8,35.8,35.8,1
2026-05-16 20:00,59.64,59.64,59.64,59.64,1
2026-05-16 21:00,37.28,37.28,37.28,37.28,1
2026-05-16 22:00,63.28,63.28,63.28,63.28,1
2026-05-16 23:00,92.95,92.95,92.95,92.95,1
2026-05-16 00:00,110.37,110.37,110.37,110.37,1
2026-05-16 01:00,85.03,85.03,85.03,85.03,1
2026-05-16 02:00,106.13,106.13,106.13,106.13,1
2026-05-16 03:00,125.62,125.62,125.62,125.62,1
2026-05-16 04:00,133.26,133.26,133.26,133.26,1
2026-05-16 05:00,119.36,119.36,119.36,119.36,1
2026-05-16 06:00,129.49,129.49,129.49,129.49,1
2026-05-16 07:00,136.63,136.63,136.63,136.63,1
2026-05-16 08:00,140.83,140.83,140.83,140.83,1
2026-05-16 09:00,138.77,138.77,138.77,138.77,1
2026-05-16 10:00,144.25,144.25,144.25,144.25,1
2026-05-16 11:00,146.24,146.24,146.24,146.24,1
2026-05-16 12:00,146.99,146.99,146.99,146.99,1
2026-05-16 13:00,150.33,150.33,150.33,150.33,1
2026-05-16 14:00,146.48,146.48,146.48,146.48,1
2026-05-16 15:00,143.8,143.8,143.8,143.8,1
2026-05-16 16:00,144.47,144.47,144.47,144.47,1
2026-05-16 17:00,145.53,145.53,145.53,145.53,1
2026-05-16 18:00,141.38,141.38,141.38,141.38,1
2026-05-16 19:00,139.7,139.7,139.7,139.7,1
2026-05-16 20:00,136.91,136.91,136.91,136.91,1
2026-05-16 21:00,135.36,135.36,135.36,135.36,1
2026-05-16 22:00,132.16,132.16,132.16,132.16,1
2026-05-16 23:00,131.93,131.93,131.93,131.93,1
2026-05-16 00:00,122.79,122.79,122.79,122.79,1
2026-05-17 01:00,131.4,131.4,131.4,131.4,1
2026-05-17 02:00,125.97,125.97,125.97,125.97,1
2026-05-17 03:00,119.65,119.65,119.65,119.65,1
2026-05-17 04:00,116.46,116.46,116.46,116.46,1
2026-05-17 05:00,122.85,122.85,122.85,122.85,1
2026-05-17 06:00,117.44,117.44,117.44,117.44,1
2026-05-17 07:00,116.07,116.07,116.07,116.07,1
2026-05-17 08:00,114.47,114.47,114.47,114.47,1
2026-05-17 09:00,116.95,116.95,116.95,116.95,1
2026-05-17 10:00,116.2,116.2,116.2,116.2,1
2026-05-17 11:00,114.44,114.44,114.44,114.44,1
2026-05-17 12:00,113.79,113.79,113.79,113.79,1
2026-05-17 13:00,113.56,113.56,113.56,113.56,1
2026-05-17 14:00,113.57,113.57,113.57,113.57,1
2026-05-17 15:00,114.22,114.22,114.22,114.22,1
2026-05-17 16:00,114.93,114.93,114.93,114.93,1
2026-05-17 17:00,112.83,112.83,112.83,112.83,1
2026-05-17 18:00,113.33,113.33,113.33,113.33,1
2026-05-17 19:00,112.85,112.85,112.85,112.85,1
2026-05-17 20:00,115.23,115.23,115.23,115.23,1
2026-05-17 21:00,111.7,111.7,111.7,111.7,1
2026-05-17 22:00,115.0,115.0,115.0,115.0,1
2026-05-17 23:00,116.65,116.65,116.65,116.65,1
2026-05-17 23:00,119.34,119.34,119.34,119.34,1
2026-05-17 01:00,119.31,119.31,119.31,119.31,1
2026-05-17 02:00,120.77,120.77,120.77,120.77,1
2026-05-17 03:00,119.67,119.67,119.67,119.67,1
2026-05-17 04:00,121.66,121.66,121.66,121.66,1
2026-05-17 05:00,136.29,136.29,136.29,136.29,1
2026-05-17 06:00,123.58,123.58,123.58,123.58,1
2026-05-17 07:00,113.46,113.46,113.46,113.46,1
2026-05-17 08:00,104.96,104.96,104.96,104.96,1
2026-05-17 09:00,135.57,135.57,135.57,135.57,1
2026-05-17 10:00,129.26,129.26,129.26,129.26,1
2026-05-17 11:00,113.01,113.01,113.01,113.01,1
2026-05-17 12:00,82.61,82.61,82.61,82.61,1
2026-05-17 13:00,92.18,92.18,92.18,92.18,1
2026-05-17 14:00,93.53,93.53,93.53,93.53,1
2026-05-17 15:00,72.31,72.31,72.31,72.31,1
2026-05-17 16:00,68.17,68.17,68.17,68.17,1
2026-05-17 17:00,71.53,71.53,71.53,71.53,1
2026-05-17 18:00,73.6,73.6,73.6,73.6,1
2026-05-17 19:00,59.3,59.3,59.3,59.3,1
2026-05-17 20:00,54.86,54.86,54.86,54.86,1
2026-05-17 21:00,55.66,55.66,55.66,55.66,1
2026-05-17 22:00,57.12,57.12,57.12,57.12,1
2026-05-17 23:00,52.73,52.73,52.73,52.73,1
2026-05-17 00:00,49.38,49.38,49.38,49.38,1
2026-05-17 01:00,58.25,58.25,58.25,58.25,1
2026-05-17 02:00,50.23,50.23,50.23,50.23,1
2026-05-17 03:00,48.75,48.75,48.75,48.75,1
2026-05-17 04:00,44.8,44.8,44.8,44.8,1
2026-05-17 05:00,49.28,49.28,49.28,49.28,1
2026-05-17 06:00,89.13,89.13,89.13,89.13,1
2026-05-17 07:00,89.31,89.31,89.31,89.31,1
2026-05-17 08:00,83.2,83.2,83.2,83.2,1
2026-05-17 09:00,84.22,84.22,84.22,84.22,1
2026-05-17 10:00,90.14,90.14,90.14,90.14,1
2026-05-17 11:00,46.24,46.24,46.24,46.24,1
2026-05-17 12:00,50.04,50.04,50.04,50.04,1
2026-05-17 13:00,50.18,50.18,50.18,50.18,1
2026-05-17 14:00,52.31,52.31,52.31,52.31,1
2026-05-17 15:00,66.92,66.92,66.92,66.92,1
2026-05-17 16:00,70.72,70.72,70.72,70.72,1
2026-05-17 17:00,51.85,51.85,51.85,51.85,1
2026-05-17 18:00,66.9,66.9,66.9,66.9,1
2026-05-17 19:00,88.31,88.31,88.31,88.31,1
2026-05-17 20:00,110.15,110.15,110.15,110.15,1
2026-05-17 21:00,86.4,86.4,86.4,86.4,1
2026-05-17 22:00,102.05,102.05,102.05,102.05,1
